metric,pointCloud,method,BD-PSNR,BD-Rate
pcqm,longdress,Ablation_Shepard,0.0005790707795857457,120.80481814709283
pcqm,soldier,Ablation_Shepard,-0.0006061962408120102,99.34334086372027
pcqm,loot,Ablation_Shepard,-0.00010437097599067656,23.19590816317565
pcqm,redandblack,Ablation_Shepard,-0.0012908376938279452,-11.840104126369443
sym_y_psnr,longdress,Ablation_Shepard,0.5053856610705484,-30.920171786436356
sym_y_psnr,soldier,Ablation_Shepard,0.038582879214394156,-4.346266350600015
sym_y_psnr,loot,Ablation_Shepard,-0.024971661282898034,-1.0865144994236076
sym_y_psnr,redandblack,Ablation_Shepard,-0.326955877438729,-4.293228656498139
sym_p2p_psnr,longdress,Ablation_Shepard,0.30013052417000313,-26.875584377276418
sym_p2p_psnr,soldier,Ablation_Shepard,-0.29540128801341975,-9.421798525639524
sym_p2p_psnr,loot,Ablation_Shepard,0.20454282004077298,-23.441063796417726
sym_p2p_psnr,redandblack,Ablation_Shepard,0.1246194589639701,25.293279199500663
sym_d2_psnr,longdress,Ablation_Shepard,0.5698428249829824,-25.619897252600655
sym_d2_psnr,soldier,Ablation_Shepard,-0.2736562507377719,-10.32391666322453
sym_d2_psnr,loot,Ablation_Shepard,-0.17500530164475206,-11.825569258959723
sym_d2_psnr,redandblack,Ablation_Shepard,0.2137756148584545,2.484407558527457
sym_yuv_psnr,longdress,Ablation_Shepard,0.5687943359296695,-43.29202207431053
sym_yuv_psnr,soldier,Ablation_Shepard,0.08738640026244587,-3.663353535556635
sym_yuv_psnr,loot,Ablation_Shepard,0.13719656838126534,-5.064601518895595
sym_yuv_psnr,redandblack,Ablation_Shepard,-0.18160734028461745,-9.402127858591724
