metric,pointCloud,method,BD-PSNR,BD-Rate
pcqm,longdress,Ablation_fixed,-0.006218992629724344,-54.0390025343602
pcqm,soldier,Ablation_fixed,-0.004739360437235907,-59.29253379457007
pcqm,loot,Ablation_fixed,-0.0031336864380369527,-20.174952211234263
pcqm,redandblack,Ablation_fixed,-0.004169787021705237,-54.90038999887445
sym_y_psnr,longdress,Ablation_fixed,-0.8496162183737024,62.29728359520974
sym_y_psnr,soldier,Ablation_fixed,-1.2853145913379866,43.67111268629742
sym_y_psnr,loot,Ablation_fixed,-1.2690711739732483,41.0062828646834
sym_y_psnr,redandblack,Ablation_fixed,-1.1259884393079174,94.26056923579374
sym_p2p_psnr,longdress,Ablation_fixed,-1.7225518062148502,136.34332892573795
sym_p2p_psnr,soldier,Ablation_fixed,-0.7513623255882416,50.42750387583978
sym_p2p_psnr,loot,Ablation_fixed,-0.2581682980944427,28.58628433177135
sym_p2p_psnr,redandblack,Ablation_fixed,4.74777935900178,-9.436107802594474
sym_d2_psnr,longdress,Ablation_fixed,-2.84966677909209,135.07742998829318
sym_d2_psnr,soldier,Ablation_fixed,-1.911985939638433,94.07272209115278
sym_d2_psnr,loot,Ablation_fixed,-1.5336974201652787,68.33779786938523
sym_d2_psnr,redandblack,Ablation_fixed,0.7474878087387467,25.62112194739885
sym_yuv_psnr,longdress,Ablation_fixed,-0.472704766145826,62.84945987650734
sym_yuv_psnr,soldier,Ablation_fixed,-1.3864007451989493,46.18483881753785
sym_yuv_psnr,loot,Ablation_fixed,-1.2864403554061463,41.15211446100109
sym_yuv_psnr,redandblack,Ablation_fixed,-0.8182412697283727,94.73743289300185
