metric,pointCloud,method,BD-PSNR,BD-Rate
pcqm,longdress,Ablation_Inverse_nn,-0.0027437911397153103,81.53280554021491
pcqm,soldier,Ablation_Inverse_nn,-0.0010215143850252535,27.426033554303576
pcqm,loot,Ablation_Inverse_nn,-5.109261274220705e-05,20.811489408726413
pcqm,redandblack,Ablation_Inverse_nn,-0.00048586989763739545,39.845947798983275
sym_y_psnr,longdress,Ablation_Inverse_nn,-0.15976210076121092,-75.31964880031721
sym_y_psnr,soldier,Ablation_Inverse_nn,0.7887205995241757,-23.31623735140753
sym_y_psnr,loot,Ablation_Inverse_nn,0.8406591843862881,-22.118901977324125
sym_y_psnr,redandblack,Ablation_Inverse_nn,0.6629105491371403,-79.95363157703123
sym_p2p_psnr,longdress,Ablation_Inverse_nn,-2.3926055976020644,-98.92531524718267
sym_p2p_psnr,soldier,Ablation_Inverse_nn,-1.5949301951116757,-68.65715256286182
sym_p2p_psnr,loot,Ablation_Inverse_nn,-1.5078713141343392,-63.98033813433819
sym_p2p_psnr,redandblack,Ablation_Inverse_nn,-0.4746421575252535,-97.50140730568748
sym_d2_psnr,longdress,Ablation_Inverse_nn,-3.523214428472678,-67.10217868764539
sym_d2_psnr,soldier,Ablation_Inverse_nn,-2.0953739287367825,-41.038441541498585
sym_d2_psnr,loot,Ablation_Inverse_nn,-1.7042734247409943,-35.619212552127436
sym_d2_psnr,redandblack,Ablation_Inverse_nn,-2.6309506264222846,-61.4556928035965
sym_yuv_psnr,longdress,Ablation_Inverse_nn,0.3259377565280705,-91.54279416931416
sym_yuv_psnr,soldier,Ablation_Inverse_nn,0.9846459227782145,-21.38549166628685
sym_yuv_psnr,loot,Ablation_Inverse_nn,1.192560514031975,-29.19531413472216
sym_yuv_psnr,redandblack,Ablation_Inverse_nn,0.8820287288841353,-86.29958727321647
