metric,pointCloud,method,BD-PSNR,BD-Rate
pcqm,8iVFB,G-PCC,0.001699145932726943,-29.014573221021756
pcqm,8iVFB,V-PCC,-0.0011382553053215527,58.97055331419061
pcqm,8iVFB,IT-DL-PCC,0.0019265321032792238,-36.744423805404104
pcqm,8iVFB,DeepPCC,-0.001188386546089108,31.113772868073973
pcqm,8iVFB,YOGA,-0.0012217962153453932,18.19351351909009
sym_y_psnr,8iVFB,G-PCC,0.7320458858689358,-22.307603304896762
sym_y_psnr,8iVFB,V-PCC,-4.048783364333643,158.12514914706455
sym_y_psnr,8iVFB,IT-DL-PCC,1.5959556538373918,-40.96750902208536
sym_y_psnr,8iVFB,DeepPCC,0.09240957261255654,11.694760652886881
sym_y_psnr,8iVFB,YOGA,-1.1795483357881034,40.50905172971386
sym_p2p_psnr,8iVFB,G-PCC,4.540404525249494,-47.89223641135412
sym_p2p_psnr,8iVFB,V-PCC,0.6777949565671547,-3.7643361404702036
sym_p2p_psnr,8iVFB,IT-DL-PCC,0.4051516867030511,-1.6605943219435204
sym_p2p_psnr,8iVFB,DeepPCC,-5.356143242582323,139.3018195371441
sym_p2p_psnr,8iVFB,YOGA,-4.446287391209437,95.68422244166364
sym_d2_psnr,8iVFB,G-PCC,3.0704116769113745,-37.209428833218794
sym_d2_psnr,8iVFB,V-PCC,1.5557750295064485,-25.71342080920066
sym_d2_psnr,8iVFB,IT-DL-PCC,1.1274956203600344,-15.622213842805078
sym_d2_psnr,8iVFB,DeepPCC,-5.81535588436421,111.52127842961109
sym_d2_psnr,8iVFB,YOGA,-4.193921030255193,91.44557758010339
sym_yuv_psnr,8iVFB,G-PCC,0.17258952320488097,-10.584109965361211
sym_yuv_psnr,8iVFB,V-PCC,-3.640562027939483,156.66602979005208
sym_yuv_psnr,8iVFB,IT-DL-PCC,1.5395167777473726,-42.50780322315635
sym_yuv_psnr,8iVFB,DeepPCC,0.19590876591342626,1.6602820740780677
sym_yuv_psnr,8iVFB,YOGA,-1.0546842197143675,40.277743714470745
