metric,pointCloud,method,BD-PSNR,BD-Rate
pcqm,soldier,G-PCC,0.002176295862448881,-35.971942417257274
pcqm,soldier,V-PCC,-0.00034549484603209866,32.49815239993787
pcqm,soldier,IT-DL-PCC,0.001384223162275476,-31.98459909876853
pcqm,soldier,JPEG-Pleno,-0.0010277138412401418,21.591439250318835
pcqm,bouquet,G-PCC,0.0004668576701705179,-30.604983552096098
pcqm,bouquet,V-PCC,-0.0016169118589105353,62.66728772158079
pcqm,bouquet,IT-DL-PCC,0.005351140126979492,-60.587781098915116
pcqm,bouquet,JPEG-Pleno,0.00035314309287301753,-78.48751318170711
pcqm,stmichael,G-PCC,-3.270623624290542e-05,-5.740599108952327
pcqm,stmichael,V-PCC,-0.0021475593496580454,66.87224811311816
pcqm,stmichael,IT-DL-PCC,0.0011815595994738037,-32.26200370223018
pcqm,stmichael,JPEG-Pleno,-6.797104570006979e-05,-30.70126226985671
pcqm,thaidancer,G-PCC,-0.0002616221062026062,-21.79153418041767
pcqm,thaidancer,V-PCC,-0.0012300062621805861,37.776784324908895
pcqm,thaidancer,IT-DL-PCC,0.0013405247166337355,-60.03420705961871
pcqm,thaidancer,JPEG-Pleno,-0.0018357371493006066,225.30107500692154
pcqm,Facade,G-PCC,-0.0021632601885771693,-69.1041976357055
pcqm,Facade,V-PCC,-0.002981208554334191,435.4868041379149
pcqm,Facade,IT-DL-PCC,-0.001062135090453741,-43.45342042625223
pcqm,Facade,JPEG-Pleno,-0.0022756652090634645,175.87412361344067
pcqm,CITISUP,G-PCC,-0.0029766574561789793,159.27726332919403
pcqm,CITISUP,V-PCC,-0.003941536743562131,317.7052064810038
pcqm,CITISUP,IT-DL-PCC,-0.0009651215976073987,52.89105842119639
pcqm,CITISUP,JPEG-Pleno,-0.0033173429235013904,337.3754707806959
pcqm,House,G-PCC,-0.0023469686514507103,106.95361226961184
pcqm,House,V-PCC,-0.0035408182770583258,335.2290550400122
pcqm,House,IT-DL-PCC,0.0006374031271934253,-16.72693531174001
pcqm,House,JPEG-Pleno,-0.003177081667909412,354.61340690824284
pcqm,boxer,G-PCC,-0.00029614512609138803,6.320097039684902
pcqm,boxer,V-PCC,-0.002529390175812537,510.9716967200222
pcqm,boxer,IT-DL-PCC,0.0022797080840391997,-53.25813481707223
pcqm,boxer,JPEG-Pleno,-0.0023596186079684195,258.9951827526527
pcqm,EPFL,G-PCC,-0.004225290819844972,273.1468407951418
pcqm,EPFL,V-PCC,-0.0049988582855724235,
pcqm,EPFL,IT-DL-PCC,-0.0027805940631994543,302.27998951841454
pcqm,EPFL,JPEG-Pleno,-0.004212865238835958,708.402320317023
pcqm,Unicorn,G-PCC,-0.008755999491155674,439.29008284992597
pcqm,Unicorn,V-PCC,-0.0046905603138927025,
pcqm,Unicorn,IT-DL-PCC,-0.009505193429999548,713.8035894272972
pcqm,Unicorn,JPEG-Pleno,-0.0076642797651404,569.1201717268032
pcqm,shiva,G-PCC,-0.00483802973660872,93.39017271873801
pcqm,shiva,V-PCC,-0.003259074995733874,188.67662085869856
pcqm,shiva,IT-DL-PCC,-0.0015229768678859553,67.05994246758071
pcqm,shiva,JPEG-Pleno,-0.0026727517564083267,132.063177818927
pcqm,Arco,G-PCC,-0.0077455055569596795,131.98933748049248
pcqm,Arco,V-PCC,-0.006276082615168726,304.146877625402
pcqm,Arco,IT-DL-PCC,-0.005163317013132926,238.9002675763404
pcqm,Arco,JPEG-Pleno,-0.006607482463762639,336.90365200385884
sym_y_psnr,soldier,G-PCC,1.1852430595484327,-26.163747809296567
sym_y_psnr,soldier,V-PCC,-3.6975787642665665,136.49340892835858
sym_y_psnr,soldier,IT-DL-PCC,1.316359441357732,-31.03737893250932
sym_y_psnr,soldier,JPEG-Pleno,-1.0806249170781588,22.822838773026177
sym_y_psnr,bouquet,G-PCC,0.22525482356495008,6.604671859491695
sym_y_psnr,bouquet,V-PCC,-1.0018348359158784,81.4830698725037
sym_y_psnr,bouquet,IT-DL-PCC,1.4640442000035327,-29.452462792798208
sym_y_psnr,bouquet,JPEG-Pleno,0.6508963654154807,-6.289420147171532
sym_y_psnr,stmichael,G-PCC,0.09966735490842205,-10.096591826819834
