metric,pointCloud,method,BD-PSNR,BD-Rate
pcqm,solid,G-PCC,0.001325654429562355,-29.983699938236942
pcqm,solid,V-PCC,-0.001756051926657934,79.78387384468049
pcqm,solid,IT-DL-PCC,0.0019092391369557736,-36.896193902557215
pcqm,solid,JPEG-Pleno,-0.0012472995370708373,42.39095401724826
pcqm,dense,G-PCC,-0.001825418080601281,55.10568115578627
pcqm,dense,V-PCC,-0.0033971081031730966,335.63092355162223
pcqm,dense,IT-DL-PCC,7.44904928139307e-05,-1.8798346509561248
pcqm,dense,JPEG-Pleno,-0.002938183811138794,289.39589609780086
pcqm,sparse,G-PCC,-0.006755779568643644,169.46075473571955
pcqm,sparse,V-PCC,-0.004963608208920384,352.6987704447458
pcqm,sparse,IT-DL-PCC,-0.004065627717042639,286.22720905570594
pcqm,sparse,JPEG-Pleno,-0.004890141178123844,315.02536057866877
sym_y_psnr,solid,G-PCC,1.1564586897510656,-32.285812678039385
sym_y_psnr,solid,V-PCC,-2.4575152260993196,93.29851713300725
sym_y_psnr,solid,IT-DL-PCC,1.135100321553382,-32.3700486759545
sym_y_psnr,solid,JPEG-Pleno,-0.6825510790154496,19.211537419067582
sym_y_psnr,dense,G-PCC,-1.514662877649543,48.746021116515294
sym_y_psnr,dense,V-PCC,-3.602632295747369,371.1300726924976
sym_y_psnr,dense,IT-DL-PCC,0.18751007673569126,4.5730931373208605
sym_y_psnr,dense,JPEG-Pleno,-2.0818506677558952,231.68850865657546
sym_y_psnr,sparse,G-PCC,-3.6740749144102347,140.73885192207328
sym_y_psnr,sparse,V-PCC,-2.2432197071580426,413.3173608321761
sym_y_psnr,sparse,IT-DL-PCC,-1.635619939385681,456.54736517598707
sym_y_psnr,sparse,JPEG-Pleno,-1.7029447253829455,419.0357026351123
sym_p2p_psnr,solid,G-PCC,4.607797917296406,-57.812572320520374
sym_p2p_psnr,solid,V-PCC,-0.9481309375827373,17.22706542746422
sym_p2p_psnr,solid,IT-DL-PCC,-0.7568750920188966,16.058636648459125
sym_p2p_psnr,solid,JPEG-Pleno,-3.4646549339639043,100.11122534431225
sym_p2p_psnr,dense,G-PCC,-5.23572157435304,255.42696173735112
sym_p2p_psnr,dense,V-PCC,-7.425501685938515,
sym_p2p_psnr,dense,IT-DL-PCC,-5.044963745308714,429.7088973559636
sym_p2p_psnr,dense,JPEG-Pleno,-6.515992792672307,1191.2164556380717
sym_p2p_psnr,sparse,G-PCC,-7.619173177090932,488.7796808933841
sym_p2p_psnr,sparse,V-PCC,-6.234579229068532,
sym_p2p_psnr,sparse,IT-DL-PCC,-5.004148265621113,750.4587319989479
sym_p2p_psnr,sparse,JPEG-Pleno,-5.766692031490407,601.8349835452549
sym_d2_psnr,solid,G-PCC,4.003962277682349,-54.97495969438076
sym_d2_psnr,solid,V-PCC,0.3585648549495207,-16.8378107553788
sym_d2_psnr,solid,IT-DL-PCC,0.6245478891165506,-9.506442723777885
sym_d2_psnr,solid,JPEG-Pleno,-2.909952893879065,68.46438194190088
sym_d2_psnr,dense,G-PCC,-1.8993959836079988,42.05097281310945
sym_d2_psnr,dense,V-PCC,-4.621623790479442,503.83101382085397
sym_d2_psnr,dense,IT-DL-PCC,-1.1138552957493577,33.28164387433663
sym_d2_psnr,dense,JPEG-Pleno,-4.236829904613923,240.48879537562988
sym_d2_psnr,sparse,G-PCC,-4.223561178705472,127.98356977506123
sym_d2_psnr,sparse,V-PCC,-3.2384815080252647,178.919367104261
sym_d2_psnr,sparse,IT-DL-PCC,-0.8252176026071405,33.71434608962611
sym_d2_psnr,sparse,JPEG-Pleno,-2.8489072201305685,79.91903822229216
sym_yuv_psnr,solid,G-PCC,0.7163936881319717,-23.732850857931776
sym_yuv_psnr,solid,V-PCC,-2.1778562293485426,89.65158636492372
sym_yuv_psnr,solid,IT-DL-PCC,1.1881424548231783,-36.01854040390185
sym_yuv_psnr,solid,JPEG-Pleno,-0.5672175950973217,16.391982499876434
sym_yuv_psnr,dense,G-PCC,-1.4623438382714982,80.11802725232755
sym_yuv_psnr,dense,V-PCC,-3.0404517605944754,263.30375037633246
sym_yuv_psnr,dense,IT-DL-PCC,1.1600083564067103,-21.699228256440527
sym_yuv_psnr,dense,JPEG-Pleno,-1.8007945486404942,231.1268861842149
sym_yuv_psnr,sparse,G-PCC,-3.3357850006827805,125.54885518251133
sym_yuv_psnr,sparse,V-PCC,-2.1609290603575837,412.0231135736491
sym_yuv_psnr,sparse,IT-DL-PCC,-1.2124757842512184,359.31310572370273
sym_yuv_psnr,sparse,JPEG-Pleno,-1.6692371046006775,437.904271042636
