method,pointcloud,t_comp,t_decomp
Main,longdress,0.7976728081703186,0.8998945951461792
Ablation_lambdaFunc_linear,longdress,0.8926907777786255,1.0469114780426025
Ablation_lambdaFunc_exponential,longdress,0.6537414193153381,0.8046697378158569
Main,soldier,0.8742407560348511,1.0333020687103271
Ablation_lambdaFunc_linear,soldier,0.9779674410820007,1.1862697005271912
Ablation_lambdaFunc_exponential,soldier,0.7874443531036377,0.9854579567909241
Main,loot,0.7536398768424988,0.7914427518844604
Ablation_lambdaFunc_linear,loot,0.7114900946617126,0.8637318015098572
Ablation_lambdaFunc_exponential,loot,0.5958287119865417,0.7458972334861755
Main,redandblack,0.6468426585197449,0.7842956781387329
Ablation_lambdaFunc_linear,redandblack,0.7156871557235718,0.8751517534255981
Ablation_lambdaFunc_exponential,redandblack,0.5598881244659424,0.7200143337249756
