method,pointcloud,t_comp,t_decomp
Main,longdress,1.0976256728172302,0.764158308506012
G-PCC,longdress,12.39275,2.01675
V-PCC,longdress,434.74825,1.8915000000000002
IT-DL-PCC,longdress,187.9016289114952,47.39393490552902
Main,soldier,1.2830543518066406,0.8754806518554688
G-PCC,soldier,15.815750000000001,2.5082500000000003
V-PCC,soldier,437.07725,2.31775
IT-DL-PCC,soldier,225.83477461338043,58.32385855913162
Main,loot,0.9429468512535095,0.6631666421890259
G-PCC,loot,11.6075,1.8860000000000001
V-PCC,loot,263.48725,1.7112500000000002
IT-DL-PCC,loot,81.48021602630615,22.791617810726166
Main,redandblack,0.9104403257369995,0.6521705389022827
G-PCC,redandblack,10.9665,1.79575
V-PCC,redandblack,311.13874999999996,1.658
IT-DL-PCC,redandblack,88.2091783285141,21.792770862579346
