method,pointcloud,t_comp,t_decomp
Main,soldier,1.2821589708328247,0.880368709564209
G-PCC,soldier,15.815750000000001,2.5082500000000003
V-PCC,soldier,437.07725,2.31775
IT-DL-PCC,soldier,225.83477461338043,58.32385855913162
Main,bouquet,3.8640772104263306,2.531531810760498
G-PCC,bouquet,50.17975,7.728
V-PCC,bouquet,2249.2432499999995,7.82225
IT-DL-PCC,bouquet,523.7803275585175,78.71650803089142
Main,stmichael,3.0906401872634888,1.1911818385124207
G-PCC,stmichael,29.868249999999996,4.368499999999999
V-PCC,stmichael,1091.5935,4.0375
IT-DL-PCC,stmichael,274.18312871456146,47.41527706384659
Main,thaidancer,5.110458850860596,2.294928193092346
G-PCC,thaidancer,39.45425,3.14125
V-PCC,thaidancer,1031.15075,7.800999999999999
IT-DL-PCC,thaidancer,339.50632935762405,95.70356023311615
Main,Facade,8.588836073875427,7.004917800426483
G-PCC,Facade,25.494,4.571
V-PCC,Facade,2717.75825,32.69675
IT-DL-PCC,Facade,422.49889636039734,110.94564390182495
Main,CITISUP,20.871149718761444,9.404904901981354
G-PCC,CITISUP,89.94175000000001,13.44275
V-PCC,CITISUP,6551.976,101.51499999999999
IT-DL-PCC,CITISUP,2605.1358847618103,613.6964346766472
Main,House,18.901307821273804,16.425665378570557
G-PCC,House,72.22874999999999,10.49875
V-PCC,House,5274.2235,48.2265
IT-DL-PCC,House,3032.6633391976357,727.2111664414406
Main,boxer,11.561549365520477,3.2179893255233765
G-PCC,boxer,46.95925,7.239
V-PCC,boxer,2655.0085,26.93475
IT-DL-PCC,boxer,2080.368837416172,682.2704883813858
Main,EPFL,21.813845455646515,11.814866065979004
G-PCC,EPFL,68.29975,10.424249999999999
V-PCC,EPFL,14575.60925,180.35775
IT-DL-PCC,EPFL,1246.7008740901947,208.75443816184998
Main,Unicorn,14.991222202777863,12.02353584766388
G-PCC,Unicorn,39.2425,7.97025
V-PCC,Unicorn,6613.2055,212.22750000000002
IT-DL-PCC,Unicorn,490.0554577112198,68.4281297326088
Main,shiva,7.119443714618683,5.411841511726379
G-PCC,shiva,20.0465,4.26225
V-PCC,shiva,3200.2925,41.68725
IT-DL-PCC,shiva,1245.0073340535164,347.3475492000579
Main,Arco,9.817373037338257,7.114459991455078
G-PCC,Arco,29.904000000000003,6.24
V-PCC,Arco,3844.93475,49.661500000000004
IT-DL-PCC,Arco,1747.9640585780144,350.2097142338753
